"sample"	"time..min."	"experiment"	"organism"	"c.acceptor...mM."	"acceptor"	"c.donor...mM."	"donor"	"dilution.factor"	"c(NH4+)"	"c(NO2-)"	"c(NO3-)"	"c(NH4+) sample"	"c(NO2-) sample"	"c(NO3-) sample"
"DL117"	71	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-31.101964378253	256.764225158393	11.4439898786933	-62.203928756506	513.528450316786	22.8879797573865
"DL118"	71	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-22.3787996965854	269.4662095131	-28.0401148679209	-44.7575993931708	538.9324190262	-56.0802297358417
"DL118"	71	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-26.3826230269226	261.010746555085	0.544635340659618	-52.7652460538452	522.02149311017	1.08927068131924
"DL125"	96	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-42.5729996975266	182.995008329132	0.821002709203105	-85.1459993950532	365.990016658264	1.64200541840621
"DL125"	96	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-42.1771842836168	184.122403390201	-3.56123340671003	-84.3543685672336	368.244806780401	-7.12246681342007
"DL126"	96	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-28.8108003438856	146.147979749871	0.576794741746123	-57.6216006877712	292.295959499741	1.15358948349225
"DL126"	96	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-30.8203249871764	147.162635304832	-1.79000681919283	-61.6406499743527	294.325270609665	-3.58001363838567
"DL127"	96	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-17.4387194299476	274.858915888545	-36.5684881870918	-34.8774388598952	549.717831777091	-73.1369763741836
"DL127"	96	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-21.4729882788309	277.076126175314	-35.8354285386769	-42.9459765576618	554.152252350627	-71.6708570773538
"DL128"	96	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-15.1932248151747	281.942714855594	-42.4995547649876	-30.3864496303495	563.885429711187	-84.9991095299752
"DL128"	96	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-41.7813712293763	269.334680089309	-24.4279573592248	-83.5627424587526	538.669360178618	-48.8559147184497
"DL129"	96	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-18.5272089066721	275.460193254449	-33.2343823070948	-37.0544178133442	550.920386508897	-66.4687646141896
"DL129"	96	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-21.1380686974701	263.434645936383	-8.75703784001552	-42.2761373949402	526.869291872765	-17.514075680031
"DL130"	96	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-25.8193489641079	258.492897585365	3.42568156719339	-51.6386979282158	516.98579517073	6.85136313438677
"DL130"	96	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-22.8811803626387	255.411351085111	-11.627651253926	-45.7623607252774	510.822702170221	-23.2553025078519
"DL89"	12	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-45.9450446453614	199.004018196307	13.0504524528923	-229.725223226807	995.020090981536	65.2522622644613
"DL89"	12	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-56.1981883565963	208.79356530992	10.5257230454025	-280.990941782982	1043.9678265496	52.6286152270127
"DL90"	12	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-30.3331706579592	182.431310798598	8.97126618672863	-151.665853289796	912.156553992988	44.8563309336432
"DL90"	12	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-35.6081683746435	184.235142896308	8.19716516378639	-178.040841873218	921.175714481538	40.9858258189319
"DL91"	12	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-19.6842094015003	197.143816345544	16.7948635561735	-98.4210470075013	985.71908172772	83.9743177808676
"DL91"	12	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-19.8821182121714	196.260690214374	9.43573366498635	-99.4105910608571	981.303451071868	47.1786683249317
"DL92"	12	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-31.1247991261094	185.738336311066	24.2757505586677	-155.623995630547	928.691681555329	121.378752793339
"DL92"	12	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-21.2903056527591	191.018303180404	20.1892901689062	-106.451528263795	955.091515902021	100.946450844531
"DL93"	12	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-24.8069746538791	207.027313047579	16.3611624347149	-124.034873269396	1035.1365652379	81.8058121735744
"DL93"	12	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-24.4720549964	207.290371895162	11.5752202935935	-122.360274982	1036.45185947581	57.8761014679675
"DL94"	12	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-25.8345729412748	186.752991866028	5.56590347579729	-129.172864706374	933.764959330138	27.8295173789864
"DL94"	12	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-32.1676213906719	184.216352978623	5.8092300026268	-160.83810695336	921.081764893115	29.046150013134
